source,target,weight
liver_triglyceride_accumulation,novel_oxidative_stress,2
mitochondrial_beta_oxidation,fatty_liver,2
mitochondrial_disruption,liver_triglyceride_accumulation,2
novel_oxidative_stress,steatosis,2
nuclear_receptor_changes_ppara,mitochondrial_beta_oxidation,2
nuclear_receptor_changes_pxr,fa_uptake,4
de_novo_lipogenesis_fa_synthesis,liver_triglyceride_accumulation,4
de_novo_lipogenesis_fa_synthesis,steatosis,4
de_novo_lipogenesis_tg_synthesis,liver_triglyceride_accumulation,4
er_stress,liver_triglyceride_accumulation,4
er_stress,steatosis,3
fa_uptake,liver_triglyceride_accumulation,4
fatty_liver,steatosis,4
liver_triglyceride_accumulation,fatty_liver,4
liver_triglyceride_accumulation,mitochondrial_beta_oxidation,4
liver_triglyceride_accumulation,steatosis,4
mitochondrial_beta_oxidation,liver_triglyceride_accumulation,4
mitochondrial_beta_oxidation,steatosis,6
novel_lipophagy,liver_triglyceride_accumulation,2
nuclear_receptor_changes_lxra,de_novo_lipogenesis_fa_synthesis,4
nuclear_receptor_changes_lxra,liver_triglyceride_accumulation,3
nuclear_receptor_changes_ppara,liver_triglyceride_accumulation,4
nuclear_receptor_changes_pparg,de_novo_lipogenesis_fa_synthesis,4
nuclear_receptor_changes_pparg,de_novo_lipogenesis_tg_synthesis,4
nuclear_receptor_changes_pparg,fa_uptake,6
nuclear_receptor_changes_pparg,liver_triglyceride_accumulation,4
peroxisomal_beta_oxidation,liver_triglyceride_accumulation,2
vldl_secretion,liver_triglyceride_accumulation,6
